epoch, 83, time used, 57, seconds, train loss, 1.417005, validation loss:, 1.600041
epoch, 84, time used, 57, seconds, train loss, 1.416581, validation loss:, 1.600390
epoch, 85, time used, 57, seconds, train loss, 1.416186, validation loss:, 1.599835
epoch, 86, time used, 57, seconds, train loss, 1.415747, validation loss:, 1.599817
epoch, 87, time used, 57, seconds, train loss, 1.415397, validation loss:, 1.599743
epoch, 88, time used, 57, seconds, train loss, 1.414976, validation loss:, 1.599472
epoch, 89, time used, 57, seconds, train loss, 1.414597, validation loss:, 1.599393
epoch, 90, time used, 57, seconds, train loss, 1.414252, validation loss:, 1.598928
epoch, 91, time used, 57, seconds, train loss, 1.413911, validation loss:, 1.599061
epoch, 92, time used, 57, seconds, train loss, 1.413453, validation loss:, 1.598957
epoch, 93, time used, 57, seconds, train loss, 1.413071, validation loss:, 1.598722
epoch, 94, time used, 57, seconds, train loss, 1.412729, validation loss:, 1.598610
epoch, 95, time used, 57, seconds, train loss, 1.412297, validation loss:, 1.598762
epoch, 96, time used, 58, seconds, train loss, 1.411973, validation loss:, 1.598288
epoch, 97, time used, 58, seconds, train loss, 1.411667, validation loss:, 1.598324
epoch, 98, time used, 58, seconds, train loss, 1.411301, validation loss:, 1.597992
epoch, 99, time used, 59, seconds, train loss, 1.411028, validation loss:, 1.598761
epoch, 100, time used, 59, seconds, train loss, 1.410619, validation loss:, 1.598306
epoch, 101, time used, 58, seconds, train loss, 1.404250, validation loss:, 1.588438
epoch, 102, time used, 58, seconds, train loss, 1.403342, validation loss:, 1.588363
epoch, 103, time used, 59, seconds, train loss, 1.403146, validation loss:, 1.588331
epoch, 104, time used, 58, seconds, train loss, 1.403012, validation loss:, 1.588332
epoch, 105, time used, 58, seconds, train loss, 1.402901, validation loss:, 1.588348
epoch, 106, time used, 59, seconds, train loss, 1.402804, validation loss:, 1.588367
epoch, 107, time used, 58, seconds, train loss, 1.402714, validation loss:, 1.588410
epoch, 108, time used, 58, seconds, train loss, 1.402631, validation loss:, 1.588443
epoch, 109, time used, 58, seconds, train loss, 1.402551, validation loss:, 1.588458
epoch, 110, time used, 59, seconds, train loss, 1.402471, validation loss:, 1.588506
epoch, 111, time used, 58, seconds, train loss, 1.402397, validation loss:, 1.588523
epoch, 112, time used, 58, seconds, train loss, 1.402326, validation loss:, 1.588533
epoch, 113, time used, 57, seconds, train loss, 1.402256, validation loss:, 1.588542
epoch, 114, time used, 58, seconds, train loss, 1.402187, validation loss:, 1.588566
epoch, 115, time used, 58, seconds, train loss, 1.402122, validation loss:, 1.588595
epoch, 116, time used, 57, seconds, train loss, 1.402056, validation loss:, 1.588606
epoch, 117, time used, 58, seconds, train loss, 1.401993, validation loss:, 1.588613
epoch, 118, time used, 59, seconds, train loss, 1.401929, validation loss:, 1.588644
epoch, 119, time used, 63, seconds, train loss, 1.401867, validation loss:, 1.588629
epoch, 120, time used, 59, seconds, train loss, 1.401807, validation loss:, 1.588629
epoch, 121, time used, 59, seconds, train loss, 1.401749, validation loss:, 1.588728
epoch, 122, time used, 58, seconds, train loss, 1.401691, validation loss:, 1.588649
epoch, 123, time used, 58, seconds, train loss, 1.401629, validation loss:, 1.588719
epoch, 124, time used, 58, seconds, train loss, 1.401571, validation loss:, 1.588688
epoch, 125, time used, 58, seconds, train loss, 1.401514, validation loss:, 1.588720
epoch, 126, time used, 59, seconds, train loss, 1.401456, validation loss:, 1.588725
epoch, 127, time used, 60, seconds, train loss, 1.401400, validation loss:, 1.588752
epoch, 128, time used, 59, seconds, train loss, 1.401344, validation loss:, 1.588762
epoch, 129, time used, 59, seconds, train loss, 1.401289, validation loss:, 1.588764
epoch, 130, time used, 59, seconds, train loss, 1.401233, validation loss:, 1.588805
epoch, 131, time used, 59, seconds, train loss, 1.401179, validation loss:, 1.588830
epoch, 132, time used, 61, seconds, train loss, 1.401125, validation loss:, 1.588763
epoch, 133, time used, 62, seconds, train loss, 1.401069, validation loss:, 1.588832
epoch, 134, time used, 62, seconds, train loss, 1.401017, validation loss:, 1.588795
epoch, 135, time used, 71, seconds, train loss, 1.400962, validation loss:, 1.588827
epoch, 136, time used, 72, seconds, train loss, 1.400909, validation loss:, 1.588826
epoch, 137, time used, 63, seconds, train loss, 1.400856, validation loss:, 1.588831
epoch, 138, time used, 59, seconds, train loss, 1.400805, validation loss:, 1.588893
